protein,length
>sp|A0A8C0N8E3|VIME_CANLF Vimentin OS=Ca,466
>sp|A0A8C0NGY6|YAP1_CANLF Transcriptiona,506
>sp|A0A8I3NQW8|ASTER_CANLF PAT complex s,106
>sp|A0A8I3PQN6|WWTR1_CANLF WW domain-con,400
>sp|E2QY99|PALS1_CANLF Protein PALS1 OS=,675
>sp|E2RDP2|ATG4D_CANLF Cysteine protease,473
>sp|E2RK30|PKHD1_CANLF Fibrocystin OS=Ca,4074
>sp|F1PBJ0|RPGF2_CANLF Rap guanine nucle,1498
>sp|F1PLN3|FTO_CANLF Alpha-ketoglutarate,506
>sp|O02662|ADRB3_CANLF Beta-3 adrenergic,405
>sp|O46550|CAV2_CANLF Caveolin-2 OS=Cani,162
>sp|O46635|5HT2A_CANLF 5-hydroxytryptami,470
>sp|O46669|SCNAA_CANLF Sodium channel pr,1962
>sp|O46674|AT2A2_CANLF Sarcoplasmic/endo,997
>sp|O97626|CD40L_CANLF CD40 ligand OS=Ca,260
>sp|P00011|CYC_CANLF Cytochrome c OS=Can,105
>sp|P0DV84|ALK_CANLF ALK tyrosine kinase,1631
>sp|P11613|ACKR3_CANLF Atypical chemokin,362
>sp|P19006|HPT_CANLF Haptoglobin OS=Cani,329
>sp|P24408|RAB9A_CANLF Ras-related prote,201
>sp|P24409|RAB10_CANLF Ras-related prote,200
>sp|P33731|SRP72_CANLF Signal recognitio,671
>sp|P35521|ICLN_CANLF Methylosome subuni,235
>sp|P38400|GNAI2_CANLF Guanine nucleotid,355
>sp|P47240|PAX8_CANLF Paired box protein,459
>sp|P50997|AT1A1_CANLF Sodium/potassium-,1021
>sp|P51666|NR4A1_CANLF Nuclear receptor ,598
>sp|P67811|SC11A_CANLF Signal peptidase ,179
>sp|P80009|PLMN_CANLF Plasminogen OS=Can,812
>sp|Q06220|SCF_CANLF Kit ligand OS=Canis,274
>sp|Q1HE58|RB27A_CANLF Ras-related prote,221
>sp|Q1HG70|MP2K2_CANLF Dual specificity ,400
>sp|Q1M199|EPM2A_CANLF Laforin OS=Canis ,331
>sp|Q28247|CO4A5_CANLF Collagen alpha-5(,1691
>sp|Q28262|PAFA_CANLF Platelet-activatin,444
>sp|Q28265|KCMA1_CANLF Calcium-activated,1159
>sp|Q28294|GNAQ_CANLF Guanine nucleotide,359
>sp|Q29467|I5P1_CANLF Inositol polyphosp,412
>sp|Q2THW9|ZDHC5_CANLF Palmitoyltransfer,715
>sp|Q3LSL6|CXCR4_CANLF C-X-C chemokine r,353
>sp|Q4VSN4|DUSTY_CANLF Dual serine/threo,931
>sp|Q5FBR4|RARA_CANLF Retinoic acid rece,462
>sp|Q5I2M8|TLR9_CANLF Toll-like receptor,1032
>sp|Q5QQX7|CP19A_CANLF Aromatase OS=Cani,503
>sp|Q5WR10|DX39B_CANLF Spliceosome RNA h,428
>sp|Q5XFN2|DESM_CANLF Desmin OS=Canis lu,469
>sp|Q6A548|TERT_CANLF Telomerase reverse,1123
>sp|Q6UKI2|AMNLS_CANLF Protein amnionles,458
>sp|Q6XPZ3|PAG15_CANLF Lysosomal phospho,408
>sp|Q6XXX9|5HT1A_CANLF 5-hydroxytryptami,423
